Bromeliad	Carbon	Scenario	Time	Block	Abs
6	29	3	0	4	-0.195
15	31	3	0	2	0.450
15	5	3	0	2	0.288
15	16	3	0	2	1.189
15	17	3	0	2	-0.250
15	6	3	0	2	-0.152
15	10	3	0	2	-0.142
15	24	3	0	2	-0.219
15	26	3	0	2	-0.235
15	14	3	0	2	-0.252
15	1	3	0	2	-0.248
15	18	3	0	2	-0.251
15	19	3	0	2	-0.050
15	2	3	0	2	-0.211
15	9	3	0	2	-0.242
15	27	3	0	2	-0.249
15	28	3	0	2	-0.243
15	21	3	0	2	-0.263
15	25	3	0	2	-0.243
15	20	3	0	2	-0.256
15	13	3	0	2	-0.116
15	15	3	0	2	-0.124
15	7	3	0	2	-0.189
15	12	3	0	2	-0.190
15	4	3	0	2	-0.232
15	11	3	0	2	-0.241
15	30	3	0	2	-0.190
15	22	3	0	2	-0.241
15	23	3	0	2	0.017
15	8	3	0	2	-0.038
15	3	3	0	2	-0.096
15	29	3	0	2	-0.056
23	31	3	0	2	-0.011
23	5	3	0	2	-0.031
23	16	3	0	2	-0.018
23	17	3	0	2	0.009
23	6	3	0	2	0.031
23	10	3	0	2	-0.030
23	24	3	0	2	-0.015
23	26	3	0	2	0.146
23	14	3	0	2	-0.013
23	1	3	0	2	0.005
23	18	3	0	2	-0.025
23	19	3	0	2	0.019
23	2	3	0	2	-0.024
23	9	3	0	2	-0.019
23	27	3	0	2	0.015
23	28	3	0	2	0.043
23	21	3	0	2	-0.022
23	25	3	0	2	0.122
23	20	3	0	2	0.029
23	13	3	0	2	-0.014
23	15	3	0	2	-0.019
23	7	3	0	2	-0.025
23	12	3	0	2	-0.011
23	4	3	0	2	0.183
23	11	3	0	2	0.266
23	30	3	0	2	0.321
23	22	3	0	2	0.224
23	23	3	0	2	0.004
23	8	3	0	2	0.017
23	3	3	0	2	-0.024
23	29	3	0	2	-0.006
38	31	3	0	3	0.018
38	5	3	0	3	0.015
38	16	3	0	3	0.021
38	17	3	0	3	0.258
38	6	3	0	3	0.175
38	10	3	0	3	0.209
38	24	3	0	3	0.526
38	26	3	0	3	0.049
38	14	3	0	3	-0.015
38	1	3	0	3	0.003
38	18	3	0	3	0.059
38	19	3	0	3	0.212
38	2	3	0	3	0.064
38	9	3	0	3	0.027
38	27	3	0	3	0.029
38	28	3	0	3	-0.020
38	21	3	0	3	-0.019
38	25	3	0	3	-0.011
38	20	3	0	3	-0.011
38	13	3	0	3	-0.014
38	15	3	0	3	-0.023
38	7	3	0	3	-0.006
38	12	3	0	3	-0.010
38	4	3	0	3	-0.027
38	11	3	0	3	-0.022
38	30	3	0	3	-0.008
38	22	3	0	3	-0.011
38	23	3	0	3	-0.001
38	8	3	0	3	-0.023
38	3	3	0	3	-0.018
38	29	3	0	3	0.000
49	31	3	0	4	-0.032
49	5	3	0	4	-0.070
49	16	3	0	4	0.049
49	17	3	0	4	0.043
49	6	3	0	4	-0.019
49	10	3	0	4	0.405
49	24	3	0	4	0.093
49	26	3	0	4	-0.041
49	14	3	0	4	-0.033
49	1	3	0	4	-0.033
49	18	3	0	4	-0.067
